💓常看频道,#genre#
浙江文成综合频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
浙江绍兴综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
浙江绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
浙江上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
浙江上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
浙江衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
浙江青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
浙江平湖新闻综合,http://l.cztvcloud.com/channels/lantian/SXpinghu1/720p.m3u8
浙江龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
浙江龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
浙江龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
浙江缙云综合频道,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
浙诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
浙中央一套,http://tvpull.dxhmt.cn:9081/tv/10223-1.m3u8
浙直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
浙云和新闻综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
浙新闻综合,http://tvpull.dxhmt.cn:9081/tv/11221-1.m3u8
浙象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
浙松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
💓咪咕卫视,#genre#
广东卫视,http://58.221.214.82:9901/tsfile/live/0125_1.m3u8
广东卫视,http://220.170.241.204:9901/tsfile/live/0125_1.m3u8
广东卫视,http://z.b.bkpcp.top/m.php?id=gdws
广东卫视,http://183.66.15.146:60901/tsfile/live/0125_1.m3u8
广东卫视,http://183.94.1.118:8801/tsfile/live/0125_1.m3u8
广东卫视,http://[2409:8087:74d6:22::7]:6410/270000001128/9900000520/index.m3u8?
广东卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000341/index.m3u8?IAS
广东卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226248/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226248/index.m3u8
广东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000520/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv#http://stream.qhbtv.com/adws/sd/live.m3u8
浙江卫视,http://58.17.116.69:9908/tsfile/live/0001_20.m3u8
浙江卫视,http://58.17.116.69:9908/tsfile/live/0001_20.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://183.66.15.146:60901/tsfile/live/0124_1.m3u8
浙江卫视,http://183.94.1.118:8801/tsfile/live/0124_1.m3u8
浙江卫视,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002206/index.m3u8
浙江卫视,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226339/index.m3u8
浙江卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010070/index.m3u8
浙江卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000531/index.m3u8
浙江卫视,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226144/index.m3u8
湖南卫视,http://39.134.136.161:6610/000000001000/8655038471675748531/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=8655038471675748531
湖南卫视,http://39.134.136.161:6610/000000001000/6954818217931477266/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=6954818217931477266
湖南卫视,http://39.134.136.161:6610/000000001000/6837496099179515295/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=6837496099179515295
湖南卫视,http://58.221.214.82:9901/tsfile/live/0128_1.m3u8
